Id,Source,Target,Type,Weight,SourceLat,SourceLong,TargetLat,TargetLong,EdgeLength,EdgeBearing,TrueEdgeBearing
272,166,180,Directed,1,32.297544,-90.209888,32.297544,-90.210398,157.278896,-89.99986375,270
273,76,166,Directed,1,32.297544,-90.209647,32.297544,-90.209888,74.32206321,-89.99993561,270
274,75,76,Directed,1,32.297544,-90.209062,32.297544,-90.209647,180.4080966,-89.99984371,270
275,74,75,Directed,1,32.297544,-90.208515,32.297544,-90.209062,168.688969,-89.99985386,270
276,83,74,Directed,1,32.297544,-90.208257,32.297544,-90.208515,79.56458667,-89.99993107,270
277,84,83,Directed,1,32.297544,-90.207909,32.297544,-90.208257,107.31972,-89.99990703,270
278,85,84,Directed,1,32.297544,-90.207619,32.297544,-90.207909,89.43303975,-89.99992252,270
279,86,85,Directed,1,32.297544,-90.207308,32.297544,-90.207619,95.90908311,-89.99991691,270
280,93,86,Directed,1,32.297544,-90.206975,32.297544,-90.207308,102.6938227,-89.99991104,270
281,128,93,Directed,1,32.297522,-90.206058,32.297544,-90.206975,282.9074607,-88.37399544,272
282,37,166,Directed,1,32.297259,-90.209867,32.297544,-90.209888,104.1791541,-3.564014363,356
283,77,76,Directed,1,32.297839,-90.20954,32.297544,-90.209647,112.5713182,-162.9547302,197
284,27,77,Directed,1,32.298052,-90.209529,32.297839,-90.20954,77.78441508,-177.5004508,182
285,78,77,Directed,1,32.297839,-90.209143,32.297839,-90.20954,122.4305283,-89.99989394,270
286,14,75,Directed,1,32.297721,-90.209073,32.297544,-90.209062,64.66632373,176.9929125,177
287,79,78,Directed,1,32.298356,-90.209143,32.297839,-90.209143,188.6198059,180,180
288,13,79,Directed,1,32.298451,-90.209143,32.298356,-90.209143,34.66050906,180,180
